indroea;ano_hidr;qci;qci_com;mes_ci;dia_ci;qc;qc_com;mes_c;dia_c
2007;1927;;;;;;4;12;25
2014;1923;;;;;;4;3;29
2009;1925;;;;;;4;12;13
2012;1924;;;;;9.3;1;;
2029;1914;;;;;195;1;2;20
2014;1921;;;;;;4;2;1
2014;1920;;;;;;3;6;4
2012;1997;18.53;2;11;22;11.48;2;11;22
2012;1930;;;;;27;2;3;14
2012;1928;;;;;45.2;1;2;2
2012;1927;;;;;29.3;1;3;25
2010;1929;;;;;64;2;2;3
2012;1925;;;;;29.3;1;2;1
2007;1924;;;;;;4;2;28
2012;1923;;;;;34;1;3;27
2012;1922;;;;;26;1;2;21
2012;1921;;;;;31.3;1;4;6
2012;1920;;;;;33.8;1;6;3
2012;1919;;;;;25;1;1;1
2012;1918;;;;;35.6;1;2;22
2012;1917;;;;;13.1;1;1;14
2012;1916;;;;;22;1;1;30
2012;1926;;;;;33;1;3;27
2002;1921;;;;;;4;4;6
2007;1926;;;;;;4;3;27
2003;1930;;;;;3.26;1;3;19
2002;1929;;;;;137;2;4;28
2002;1927;;;;;;4;12;24
2002;1926;;;;;;4;3;25
2002;1925;;;;;;4;3;28
2002;1924;;;;;;4;2;27
2004;1965;188.1;2;1;24;;;;
2002;1922;;;;;;4;3;26
2005;1996;;;;;31.3;2;6;2
2002;1919;;;;;70;1;11;15
2002;1918;;;;;;3;;
2002;1917;;;;;70;1;4;4
2002;1916;;;;;;3;;
2002;1915;;;;;;3;;
2002;1914;;;;;;3;;
2002;1913;;;;;102;2;3;25
2000;2012;109.5;2;3;29;;;;
2002;1923;;;;;;4;3;25
2006;1925;;;;;;4;12;22
2007;1923;;;;;;4;3;27
2007;1922;;;;;;4;3;27
2007;1921;;;;;;4;4;7
2007;1920;;;;;;4;5;28
2006;1993;94.74;2;11;1;26.24;2;11;1
2006;1989;96.78;2;12;18;36.839;2;11;19
2006;1930;;;;;66.6;1;3;19
2003;1948;;;;;2.48;2;9;11
2006;1926;;;;;;4;11;21
2014;1924;;;;;;4;3;1
2006;1924;;;;;;4;11;26
2006;1923;;;;;;4;3;20
2006;1922;;;;;;4;10;21
2006;1921;;;;;;4;11;23
2006;1920;;;;;;4;10;6
2006;1918;;;;;;4;2;17
2006;1917;;;;;4.4;1;1;25
2006;1916;;;;;5.6;1;1;26
2006;1927;;;;;;4;11;8
2021;1927;;;;;;4;12;22
2021;1918;;;;;;4;2;19
2022;1935;;;;;27.23;2;2;
2022;1934;;;;;12.59;2;2;
2022;1925;;;;;;4;2;2
2022;1924;;;;;20;1;6;3
2021;1936;;;;;133.2;2;1;
2021;1935;;;;;84.4;2;12;
2024;1914;;;;;58;1;3;22
2021;1928;;;;;;4;11;9
2024;1915;;;;;86;1;12;5
2021;1926;;;;;;4;11;20
2021;1925;;;;;;4;12;22
2021;1924;;;;;;4;6;2
2021;1923;;;;;;4;3;23
2021;1922;;;;;;4;2;8
2021;1921;;;;;;4;1;29
2021;1920;;;;;;4;12;28
2014;1922;;;;;;4;3;28
2021;1929;;;;;;4;12;3
2024;1926;;;;;;4;2;28
2050;1938;;;;;23.5;1;12;
2025;1997;6.22;2;6;1;5.85;2;6;1
2024;1970;52.2;2;4;30;;;;
2024;1966;117;2;11;8;;;;
2024;1961;156;1;1;2;;;;
2024;1930;;;;;86.5;2;3;20
2024;1929;;;;;;4;12;4
2024;1913;;;;;;4;2;22
2024;1927;;;;;;4;12;23
2021;1917;;;;;;4;1;19
2024;1923;;;;;;4;3;23
2024;1922;;;;;;4;2;8
2024;1921;;;;;;4;1;30
2024;1920;;;;;;4;12;29
2024;1919;;;;;;4;3;13
2024;1918;;;;;;4;11;3
2024;1917;;;;;;4;1;16
2024;1916;;;;;;4;12;23
2024;1928;;;;;;4;2;4
2015;1916;;;;;;4;12;20
2021;1919;;;;;;4;3;15
2015;1925;;;;;;4;3;31
2015;1924;;;;;;4;3;2
2015;1923;;;;;;4;3;28
2015;1921;;;;;;4;2;2
2015;1920;;;;;;4;5;29
2015;1919;;;;;;4;4;15
2015;1927;;;;;;4;12;26
2015;1917;;;;;;4;4;7
2015;1928;;;;;96;1;2;4
2015;1915;;;;;;4;3;26
2015;1914;;;;;;4;2;23
2015;1911;;;;;147;2;2;9
2014;1930;;;;;362.21;2;3;13
2014;1929;;;;;;4;3;21
2014;1928;;;;;;4;2;4
2014;1927;;;;;;4;12;26
2014;1926;;;;;;4;3;27
2015;1918;;;;;;4;2;25
2016;1922;;;;;;4;2;21
2021;1916;;;;;58.1;1;12;23
2018;2000;136;2;3;5;96.3;2;3;5
2016;1930;;;;;;4;12;27
2016;1929;;;;;;4;4;29
2016;1928;;;;;;4;6;25
2016;1927;;;;;;4;12;24
2016;1926;;;;;;4;3;27
2015;1926;;;;;;4;3;28
2016;1923;;;;;;4;3;26
2029;1913;;;;;186;1;2;23
2016;1921;;;;;;4;4;6
2016;1920;;;;;;4;6;1
2016;1917;;;;;;4;4;4
2016;1916;;;;;;4;12;18
2016;1915;;;;;26.6;2;12;25
2016;1914;;;;;29;2;1;8
2015;1934;;;;;205.8;1;12;
2015;1929;;;;;;4;3;21
2016;1924;;;;;;4;5;18
2086;1937;;;;;701.1;2;11;
2087;1923;;;;;376;1;3;21
2087;1922;;;;;608;1;10;29
2087;1921;;;;;342;1;1;31
2087;1920;;;;;316;2;11;6
2087;1919;;;;;424;1;11;15
2087;1918;;;;;396;1;4;2
2087;1917;;;;;186;1;1;22
2050;1936;;;;;29.5;2;3;
2087;1915;;;;;304;1;3;18
2087;1926;;;;;548;1;11;21
2086;1929;;;;;80.2;1;12;4
2086;1928;;;;;36;1;2;25
2086;1927;;;;;457;1;12;25
2086;1926;;;;;220;1;11;21
2086;1925;;;;;404;1;12;22
2086;1924;;;;;260;1;11;26
2086;1923;;;;;520;1;3;25
2087;1916;;;;;204;1;12;
2092;1922;;;;;165;1;4;11
2096;1961;2500;1;1;;;;;
2095;1961;4862;1;1;3;;;;
2095;1945;;;;;1285;1;5;2
2093;1950;;;;;2625;1;3;20
2093;1949;;;;;403;1;6;10
2093;1948;;;;;375;1;1;1
2092;1963;;;;;436;1;3;12
2087;1924;;;;;380;1;6;5
2092;1927;;;;;;4;4;10
2087;1925;;;;;548;1;12;22
2092;1921;;;;;205;1;3;15
2092;1920;;;;;97;1;11;6
2091;1961;;;;;412;1;1;2
2087;1930;;;;;224;1;3;20
2087;1929;;;;;96;1;4;25
2087;1928;;;;;92;1;2;15
2087;1927;;;;;796;1;12;23
2086;1920;;;;;134;1;10;6
2092;1930;;;;;107;1;3;19
2080;1917;;;;;33.8;1;1;20
2086;1922;;;;;430;1;10;21
2080;1925;;;;;62.7;1;2;1
2080;1924;;;;;71;1;12;3
2080;1923;;;;;75.4;1;3;25
2080;1922;;;;;63.6;1;10;29
2080;1921;;;;;73;1;1;29
2080;1920;;;;;14;1;10;8
2080;1927;;;;;88.6;1;12;22
2080;1918;;;;;;4;2;22
2080;1928;;;;;31;1;2;24
2080;1916;;;;;60;1;11;
2080;1915;;;;;66;1;12;9
2080;1914;;;;;54;1;3;26
2079;1942;;;;;209;1;1;21
2079;1930;;;;;359.75;1;3;13
2079;1929;;;;;;3;;
2079;1928;;;;;168;1;10;27
2079;1927;;;;;218;1;4;
2080;1919;;;;;31.2;1;4;
2085;1925;;;;;540;1;2;1
2100;1929;;;;;;4;3;17
2086;1919;;;;;257;1;11;15
2086;1918;;;;;300;1;2;17
2086;1917;;;;;198;1;1;22
2085;1987;332.957;2;12;12;213.14;2;1;27
2085;1929;;;;;500;1;12;25
2085;1928;;;;;222;1;2;24
2080;1926;;;;;66.8;1;11;20
2085;1926;;;;;;4;11;20
2086;1921;;;;;146;1;;
2085;1924;;;;;520;1;11;26
2085;1923;;;;;520;1;3;25
2085;1922;;;;;550;1;10;28
2085;1921;;;;;385;1;1;30
2084;2004;67.4;2;6;12;;;;
2082;1992;58.22;2;5;28;38.66;2;5;28
2081;2015;;;;;223.358;2;1;11
2080;1930;;;;;101.5;2;3;19
2085;1927;;;;;;4;12;23
2115;2002;71.6;2;4;20;53.1;2;4;20
2110;1921;;;;;31.9;1;4;5
2126;1997;17.49;2;6;2;15.5;2;11;6
2126;1995;;;;;27.31;2;1;23
2126;1977;30.9;2;3;1;;;;
2125;1990;19.28;2;4;16;17.19;2;4;16
2124;1998;10.216;2;6;28;;;;
2122;1946;256;1;2;;;;;
2128;1983;6.38;2;5;;4.68;2;5;23
2120;1994;27.71;2;2;13;;;;
2129;1997;180.69;2;11;1;40.01;2;11;14
2113;2000;0.385;2;9;23;0.286;2;9;23
2112;1990;152.4;2;1;11;152.4;2;1;11
2110;1930;;;;;141;1;3;11
2110;1927;;;;;114.9;1;3;24
2110;1926;;;;;67.8;1;11;21
2110;1925;;;;;58;1;12;13
2110;1923;;;;;77.6;1;3;26
2096;1964;;;;;442;1;3;19
2121;2002;401;2;4;23;374;2;4;23
2135;2007;6.56;2;5;11;5.41;2;5;11
2908;1912;;;;;60.2;1;2;1
2903;1930;;;;;976.825;2;4;3
2818;1985;;;;;496;2;2;18
2162;1995;63.07;2;4;;41.1;2;4;9
2145;1988;88.98;2;4;26;85.258;2;3;2
2143;1988;9.52;2;4;26;;;;
2138;2009;;;;;34.2;2;12;30
2128;1977;10.21;2;3;3;;;;
2136;2007;1.74;2;6;5;1.65;2;6;5
2110;1920;;;;;52.4;1;6;4
2134;1997;52.98;2;4;10;;;;
2134;1993;102;2;1;10;77.9;2;1;10
2134;1935;;;;;81.3;2;2;
2134;1934;;;;;48.1;2;3;
2133;1989;218;2;12;22;155;2;12;22
2132;1976;158.4;2;1;;152.4;2;1;16
2131;2007;8.53;2;6;6;8.01;2;6;6
2129;2009;11.6;2;3;2;8.6;2;3;2
2138;2007;1.51;2;9;8;1.36;2;9;6
2101;1926;;;;;;4;3;25
2110;1922;;;;;26.5;1;2;21
2106;1935;;;;;121.41;2;12;
2106;1934;;;;;56.92;2;3;
2105;1999;6.355;2;4;11;3.186;2;8;13
2101;1958;;;;;34;1;12;20
2101;1930;;;;;;4;12;31
2101;1929;;;;;;4;12;25
2108;1987;72.52;2;12;19;;;;
2101;1927;;;;;;4;12;25
2109;1916;;;;;;4;12;17
2101;1925;;;;;;4;12;21
2101;1924;;;;;;4;5;27
2101;1921;;;;;;4;4;6
2101;1918;;;;;;4;2;22
2101;1916;;;;;;4;12;18
2100;1950;153;1;3;;129;1;3;
2100;1930;;;;;95.364;2;1;3
2079;1924;;;;;118;1;2;26
2101;1928;;;;;;4;5;3
2109;1930;;;;;;4;12;31
2110;1919;;;;;38.8;1;7;1
2110;1918;;;;;;4;2;22
2110;1917;;;;;28.7;1;1;14
2110;1915;;;;;28.8;1;2;29
2110;1914;;;;;54.8;1;1;9
2110;1911;;;;;;4;2;7
2109;1989;25.2;2;12;22;19.99;2;12;22
2107;1935;;;;;29.75;2;2;
2109;1932;;;;;22.9;1;5;
2099;1998;;;;;16.752;2;5;8
2109;1929;;;;;;4;1;30
2109;1927;;;;;;4;12;
2109;1926;;;;;;4;3;26
2109;1925;;;;;;4;3;28
2109;1924;;;;;;4;4;
2109;1922;;;;;;4;12;30
2109;1921;;;;;;4;1;26
2109;1918;;;;;;4;2;17
2109;1987;21.48;2;1;29;;;;
2062;1927;;;;;;4;12;25
2062;1918;;;;;1790;1;2;19
2067;1914;;;;;157;1;3;22
2067;1913;;;;;122;1;2;23
2066;1918;;;;;;4;2;25
2064;1995;27;2;4;;25.73;2;4;4
2062;1999;379.508;2;4;25;;;;
2062;1940;;;;;1390;1;1;
2067;1917;;;;;175;1;1;20
2062;1928;;;;;;4;2;5
2067;1919;;;;;;4;3;15
2062;1926;;;;;;4;3;28
2062;1925;;;;;;4;3;31
2062;1924;;;;;317;1;4;21
2062;1923;;;;;;4;3;28
2062;1922;;;;;;4;2;24
2062;1921;;;;;;4;2;1
2062;1920;;;;;;4;6;9
2069;1926;;;;;;4;12;7
2062;1929;;;;;;4;4;30
2067;1930;;;;;217.2;2;3;19
2079;1926;;;;;218;1;11;22
2069;1924;;;;;;4;12;1
2069;1923;;;;;;4;3;25
2069;1919;;;;;413;2;11;15
2069;1918;;;;;;4;2;20
