indroea;totanos;totanosc;totanosinc;anoini;anofin;totmeses;medano;minano;maxano;cv;cs;minmes;maxmes;moct;mnov;mdic;mene;mfeb;mmar;mabr;mmay;mjun;mjul;mago;msep;q5;q25;q50;q75;q95
2124;49;49;0;1972;2020;588;1.043;0.31;3.07;0.65;1.29;0.03;17.36;0.678;0.917;1.382;1.781;1.418;1.097;1.146;0.97;0.892;0.696;0.726;0.834;2.99;1.16;0.72;0.43;0.2
2125;38;35;3;1974;2012;447;1.864;0.26;7.24;0.7;1.86;0.01;27.89;0.438;1.214;2.669;3.849;3.356;2.965;2.473;2.013;1.649;0.597;0.436;0.356;6.39;2.37;0.97;0.22;0.02
2126;45;41;4;1976;2020;524;1.343;0.29;4.77;0.85;1.44;0;28.95;0.762;1.118;2.635;2.74;2.373;1.908;1.527;1.063;0.733;0.462;0.289;0.359;5.05;1.4;0.64;0.31;0.05
2127;16;16;0;1976;1991;192;0.125;0.02;0.4;0.83;1.2;0;2.76;0.077;0.102;0.153;0.174;0.387;0.191;0.116;0.114;0.092;0.054;0.026;0.039;0.45;0.16;0.06;0.02;0.01
2128;17;15;2;1975;1991;195;0.427;0.04;0.77;0.54;-0.07;0;2.91;0.228;0.412;0.553;0.631;0.843;0.588;0.586;0.485;0.349;0.154;0.029;0.05;1.2;0.61;0.28;0.09;0
2129;46;42;4;1975;2020;536;0.644;0.14;2.13;0.54;1.83;0;13.02;0.323;0.519;0.715;1.077;1.283;0.893;1.052;0.883;0.578;0.228;0.151;0.312;1.8;0.87;0.48;0.2;0.05
2130;20;19;1;1975;1994;234;4.55;2.08;9.36;0.51;0.93;1.19;18.94;3.708;4.353;4.593;5.225;6.296;5.526;5.557;5.151;3.989;3.318;3.133;3.569;10.53;5.88;3.52;2.48;1.83
2131;14;13;1;2007;2020;159;3.622;0.85;6.34;0.42;-0.1;0.04;20.23;0.799;2.403;5.502;6.359;9.008;7.626;6.22;3.184;1.673;0.574;0.237;0.244;15.03;5.43;1.8;0.51;0.1
2132;46;44;2;1975;2020;542;27.111;10.58;64.95;0.46;1;2.72;222.23;14.997;18.634;27.79;42.083;50.375;43.666;39.581;28.898;22.27;13.802;12.352;14.405;79.62;31.09;18.05;13.28;9.01
2133;34;32;2;1987;2020;399;9.429;3.11;29.19;0.56;1.7;1.18;99.11;3.333;5.537;11.766;15.616;16.163;15.113;10.733;6.943;6.792;8.283;8.166;5.341;31.4;10.63;6.08;3.85;2.23
2134;80;71;9;1928;2020;931;9.322;1.9;20.48;0.52;0.51;1.33;55.59;6.734;8.578;9.133;10.499;11.418;11.798;10.694;11.441;9.376;8.821;8.422;7.022;24.94;12.2;6.84;3.92;2.65
2135;14;13;1;2007;2020;160;1.685;0.99;2.6;0.28;0.35;0.21;4.55;0.635;0.769;1.268;1.669;1.486;1.173;2.201;2.281;2.506;2.326;2.191;1.572;3.49;2.45;1.59;0.76;0.45
2136;14;13;1;2007;2020;159;0.901;0.19;1.55;0.51;0.02;0.01;6.03;0.344;0.712;1.543;1.688;2.238;1.533;1.374;0.691;0.482;0.184;0.06;0.059;3.93;1.29;0.36;0.13;0.02
2137;14;14;0;2007;2020;168;10.158;2.24;17.78;0.5;0.13;0.69;63.91;5.758;7.774;13.539;17.026;18.381;17.034;16.741;11.804;5.052;2.772;2.454;4.056;41.6;13.18;5.29;1.75;1
2138;14;12;2;2007;2020;150;5.623;2.42;8.33;0.32;0;0.18;36.21;1.786;4.865;8.979;8.69;11.496;10.591;9.698;6.12;3.233;1.48;0.687;0.809;16.72;8.01;3.49;1.11;0.61
2139;11;11;0;2010;2020;132;3.876;1.06;6.17;0.38;-0.24;0.48;21.08;1.539;1.885;3.308;5.215;8.061;6.908;7.74;4.142;2.53;2.065;1.737;1.684;14.72;4.62;2.3;1.59;0.91
2140;11;11;0;2010;2020;132;20.505;13.13;27.07;0.2;-0.02;5.96;65.37;13.355;19.72;20.725;20.118;23.986;21;29.861;21.062;17.48;20.758;21.507;16.735;56.76;23.86;17.43;11.08;7.13
2141;11;11;0;2010;2020;132;4.565;1.71;6.49;0.36;-0.42;0.27;21.89;0.836;3.056;6.016;8.452;10.763;9.578;8.335;4.34;2.128;0.765;0.43;0.476;18.54;7.43;2.11;0.79;0.35
2142;3;3;0;1989;1991;36;0.04;0;0.08;0.82;0;0;0.25;0;0;0.007;0.077;0.093;0.133;0.14;0.033;0.003;0;0;0;0.25;0.04;0;0;0
2143;37;36;1;1976;2012;440;7.824;1.59;28.89;0.77;1.67;0;99.75;2.715;5.878;14.667;17.299;15.773;11.314;9.086;6.763;4.897;2.463;1.599;1.558;26.68;8.42;3.81;1.94;0.09
2144;31;31;0;1976;2008;372;13.255;5.81;35.97;0.52;1.27;0.01;118.75;10.118;15.479;24.437;22.067;22.986;20.28;17.4;13.57;7.461;2.784;1.261;1.703;40.91;17.2;8.64;2.61;0.75
2145;25;24;1;1975;2020;295;32.445;10;73.01;0.55;0.67;0.85;255.52;12.074;21.168;40.896;47.382;72.135;50.742;55.158;39.004;22.726;10.65;6.644;6.884;130.43;39.82;17.25;9.2;3.22
2146;3;3;0;2010;2012;36;6.983;3.02;9.96;0.42;-0.47;0.12;26.91;1.15;5.09;9.49;13.227;12.283;14.697;14.58;9.113;2.633;0.973;0.413;0.453;26.91;10.8;3.02;1.17;0.5
2147;11;11;0;2010;2020;132;3.881;2.27;6.25;0.3;0.43;0.04;19.18;2.673;5.303;5.539;5.547;6.372;6.294;7.114;4.407;1.896;0.763;0.366;0.472;11.6;5.4;3.03;1.14;0.08
2148;21;21;0;1988;2011;252;5.574;2.19;11.8;0.43;0.66;0.56;48.71;3.6;4.221;8.044;10.373;6.675;6.93;5.942;5.619;4.83;3.09;3.264;4.272;13.89;6.23;4.32;3.02;1.8
2149;25;25;0;1988;2012;300;1.074;0.12;4.55;0.96;1.78;0;42.72;0.45;0.781;3.259;2.182;1.418;1.743;0.598;0.467;0.364;0.426;0.544;0.616;4.17;0.88;0.44;0.19;0.08
2150;21;21;0;2000;2020;252;6.764;3.37;12.41;0.32;0.61;0.15;34.85;3.794;8.09;11.1;9.895;11.243;14.335;11.7;6.828;2.855;0.735;0.354;0.499;22.29;10.67;4.6;1.02;0.29
2151;10;10;0;2011;2020;120;1.31;0.67;1.79;0.25;-0.47;0.06;5.27;0.724;1.695;1.832;1.748;2.419;2.509;2.431;1.241;0.497;0.302;0.181;0.212;4.23;1.87;0.94;0.31;0.14
2152;7;7;0;1989;1995;84;10.266;7.14;14.7;0.25;0.51;0.72;49.57;6.613;8.606;17.874;20.939;9.936;18.217;14.094;15.351;5.293;2.271;1.711;1.73;37.06;13.1;5.66;2.31;1.29
2153;8;8;0;2013;2020;96;0.876;0.13;1.37;0.42;-0.59;0.01;5.2;0.08;0.543;1.17;1.605;2.379;1.738;1.568;0.883;0.354;0.149;0.085;0.068;3.89;1.22;0.34;0.1;0.02
2154;8;8;0;2013;2020;96;2.489;0.99;3.54;0.3;-0.67;0.05;13.75;0.981;1.695;2.74;3.655;6.726;4.403;3.571;2.45;1.921;0.914;0.471;0.626;9.83;2.93;1.78;0.84;0.41
2155;7;7;0;2014;2020;84;1.996;0.62;5.14;0.73;1.17;0;17.64;0.194;1.11;3.04;3.884;4.979;3.651;4.786;1.81;0.654;0.026;0;0;13.09;1.9;0.45;0.01;0
2156;11;11;0;2010;2020;132;3.461;0.52;9.04;0.65;1;0.05;32.41;0.552;1.369;4.208;6.661;10.376;7.183;5.982;3.326;1.307;0.44;0.284;0.25;15.33;4.03;1.04;0.37;0.17
2157;7;6;1;2014;2020;76;0.348;0.22;0.64;0.41;1.2;0.01;1.53;0.278;0.523;0.492;0.42;0.663;0.597;0.572;0.361;0.16;0.08;0.05;0.04;1.18;0.53;0.2;0.06;0.03
2158;7;7;0;2014;2020;84;1.516;0.64;3.15;0.6;0.8;0.36;13.09;0.66;0.737;1.96;1.501;3.253;2.399;2.776;1.43;1.161;0.941;0.741;0.773;7.48;1.16;0.87;0.61;0.43
2159;7;7;0;2014;2020;84;1.093;0.22;1.76;0.47;-0.43;0;6.75;0.22;0.563;1.249;1.509;3.189;2.341;2.504;1.031;0.474;0.121;0.043;0.031;4.84;1.51;0.43;0.06;0
2160;6;6;0;2015;2020;72;2.968;0.8;4.4;0.43;-0.51;0;17.26;0.477;2.188;5.323;4.882;7.163;5.7;5.27;3.073;1.352;0.363;0.02;0.032;14.18;4.68;1.76;0.18;0
2161;35;33;2;1986;2020;408;2.533;1.01;4.96;0.39;0.56;0.65;14.44;1.491;1.857;2.89;3.705;3.924;3.552;3.278;2.672;1.817;1.684;1.635;1.571;6.89;2.81;1.82;1.28;0.85
2162;27;26;1;1994;2020;321;10.525;4.83;23.23;0.4;0.85;1.09;70.41;3.684;4.606;8.981;13.634;16.854;14.372;13.376;10.454;11.107;10.915;10.53;8.208;27.99;12.28;8.83;4.61;2.75
2163;24;24;0;1997;2020;288;10.008;3.22;20.97;0.46;0.37;1.32;61.36;3.566;5.264;8.985;13.712;19.132;17.665;15.263;10.703;8.502;7.02;6.208;4.592;32.46;11.93;6.64;4.04;2.55
2164;4;4;0;2017;2020;48;2.52;1.75;3.88;0.34;0.72;0.15;15.51;0.36;1.163;3.345;2.153;3.71;6.208;7.86;2.488;1.465;0.725;0.433;0.47;15.04;2.69;1.46;0.51;0.22
2165;1;1;0;2020;2020;12;2.84;2.84;2.84;0;;0.11;11.98;0.9;0.97;4.76;9.35;11.98;1.8;0.87;1.73;1.68;0.4;0.11;0.21;;;;;
2166;1;1;0;2020;2020;12;4.55;4.55;4.55;0;;0.28;23.15;1.36;1.57;6.95;12.81;23.15;2.96;1.3;2.6;1.78;0.9;0.28;0.32;;;;;
2500;7;7;0;2014;2020;84;2.074;1.22;3.44;0.35;0.7;0.29;10.05;0.976;0.683;1.607;1.349;2.559;1.834;2.467;2.229;2.63;3.451;3.287;1.874;5.08;3.11;1.46;0.86;0.43
2501;8;8;0;2013;2020;96;2.201;0.6;3.1;0.35;-0.81;0;15.8;1.794;2.66;4.358;2.511;4.278;3.381;4.271;2.33;0.56;0.171;0.053;0.198;11.15;2.51;1.01;0.27;0.05
2502;7;7;0;2014;2020;84;4.186;1.35;7.44;0.41;0.29;0;30.92;2.074;5.361;6.95;5.284;7.456;6.64;7.091;7.379;1.576;0.41;0.084;0.121;17.19;6.14;2.06;0.32;0.02
2503;8;8;0;2013;2020;96;6.074;1.94;9.67;0.4;-0.03;0.47;33.05;3.545;3.543;7.134;8.45;10.356;6.251;8.443;9.568;4.998;3.641;3.366;3.811;20.92;7.67;4.48;1.88;1.19
2505;8;8;0;2013;2020;96;10.138;2.29;17.72;0.46;0.17;1.16;63.34;5.625;6.651;14.023;13.071;20.703;11.676;18.671;14.373;6.293;3.778;3.176;4.379;39.69;12.06;5.9;2.29;1.42
2507;2;2;0;2014;2015;24;15.42;9.7;21.14;0.37;0;0.1;68.27;2.89;12.145;8.275;33.345;49.4;29.035;34.79;11.035;4.63;0.385;0.155;0.885;68.27;21.57;5.99;0.86;0.25
2508;8;8;0;2013;2020;96;1.589;0.79;2.24;0.27;-0.26;0.08;7.07;0.305;1.508;2.186;2.943;3.946;2.849;2.86;1.344;0.754;0.275;0.118;0.139;6.32;2.18;1.01;0.24;0.1
2510;8;8;0;2013;2020;96;8.285;4.32;11.44;0.27;-0.53;1.31;40.87;3.774;7.935;12.009;10.716;15.986;14.938;16.18;7.94;3.673;2.319;2.253;2.26;26.9;11.57;5.38;2.46;1.71
2511;8;8;0;2013;2020;96;1.581;0.65;2.06;0.31;-0.87;0;6.7;1.276;1.758;2.068;1.649;2.158;2.536;3.723;2.539;0.848;0.311;0.053;0.118;5.05;2.31;1.4;0.19;0.02
2512;8;8;0;2013;2020;96;3.886;1.82;5.81;0.31;-0.28;0.25;21.58;3.143;4.455;5.874;3.59;5.698;5.89;8.236;5.315;2.489;0.966;0.49;0.654;11.96;5.77;3.25;0.92;0.43
2514;7;7;0;2014;2020;84;0.203;0.16;0.26;0.19;0.39;0.03;0.52;0.12;0.197;0.256;0.227;0.299;0.3;0.286;0.206;0.18;0.137;0.116;0.101;0.45;0.26;0.17;0.13;0.09
2516;8;8;0;2013;2020;96;7.438;2.37;13.79;0.5;0.31;0.23;43.38;2.938;5.599;8.888;11.876;17.484;11.066;12.949;7.303;4.33;2.363;2.314;2.858;31.45;9.01;4.23;2.37;0.9
2517;8;8;0;2013;2020;96;2.066;0.9;3.07;0.36;-0.22;0.08;13.36;0.138;0.624;2.259;2.521;6.408;5.026;4.383;2.359;0.884;0.241;0.134;0.121;9.22;2.98;0.89;0.16;0.09
2518;8;8;0;2013;2020;96;3.655;1.4;5.5;0.39;-0.29;0.04;21.65;0.403;1.074;3.52;4.463;10.714;9.233;7.809;4.393;1.908;0.428;0.15;0.258;17.97;5.45;1.7;0.38;0.12
2519;8;8;0;2013;2020;96;2.211;0.86;4.12;0.44;0.41;0.19;10.46;0.738;1.425;2.848;3.496;5.221;3.585;3.821;2.386;1.616;0.829;0.396;0.356;9.37;2.76;1.28;0.45;0.25
2520;8;8;0;2013;2020;96;2.741;0.85;5.55;0.53;0.51;0.04;14.86;0.839;1.725;3.52;4.569;6.786;4.738;5.201;3.036;1.635;0.638;0.229;0.241;12.1;3.43;1.4;0.4;0.14
2522;8;8;0;2013;2020;96;16.693;7.24;21.39;0.3;-0.83;4.21;85.08;6.693;8.599;16.251;21.398;43.766;31.663;28.198;15.814;11.485;7.308;5.184;5.743;58.16;21.99;9.87;6.1;5.03
2524;6;5;1;2015;2020;71;234.24;131.84;354.25;0.32;0.31;27.93;1105.43;112.232;150.822;229.597;277.31;349.07;295.182;383.38;224.083;134.063;119.972;139.75;145.843;721.29;238.76;155.21;107.53;69.98
2525;8;8;0;2013;2020;96;1.668;0.79;2.23;0.32;-0.75;0.1;8.29;0.354;1.245;2.144;1.864;3.636;3.476;3.626;2.231;0.893;0.344;0.166;0.175;6.66;2.46;1.01;0.24;0.14
2526;8;8;0;2013;2020;96;2.599;1.3;3.81;0.31;-0.32;0.17;12.26;0.435;1.699;2.995;3.005;6.286;5.533;5.599;3.258;1.435;0.436;0.389;0.38;10.04;4.37;1.25;0.4;0.26
2527;8;8;0;2013;2020;96;6.126;2.74;10.23;0.39;0.18;0.36;39.98;0.95;2.678;6.729;6.74;17.173;15.084;12.726;7.236;3.17;0.748;0.48;0.639;26.9;9.58;2.46;0.72;0.44
2528;8;8;0;2013;2020;96;1.021;0.47;1.76;0.44;0.57;0.1;4.62;0.49;0.611;0.851;1.215;1.966;1.768;1.899;1.334;0.901;0.528;0.374;0.399;3.44;1.28;0.75;0.4;0.18
2529;8;8;0;2013;2020;96;4.345;2.12;5.76;0.24;-0.81;0.36;20.94;1.996;4.866;7.428;5.994;7.729;8.188;8.494;4.11;1.771;0.816;0.464;0.528;14.34;6.93;3.1;0.87;0.43
2530;8;8;0;2013;2020;96;120.216;49.74;209.68;0.45;0.35;15.88;638.24;55.611;84.051;138.153;164.181;243.394;185.766;243.335;132.525;65.443;48.611;43.293;46.834;499.71;153.42;73.68;45.96;28.41
2532;8;8;0;2013;2020;96;8.769;4.21;11.83;0.28;-0.68;0.8;40.05;2.689;8.155;13.526;12.295;17.674;16.106;15.806;9.388;5.104;2.288;1.2;1.585;27.04;12.45;6.38;1.94;1.17
2535;8;8;0;2013;2020;96;3.189;1.46;4.13;0.25;-1.12;0.11;14.08;1.198;3.303;5.103;4.364;5.89;6.426;6.924;3.158;1.153;0.53;0.184;0.224;11.27;5.29;2.16;0.47;0.15
2536;8;8;0;2013;2020;96;3.081;0.95;4.71;0.38;-0.43;0.04;17.24;0.921;2.604;4.694;4.141;5.983;7.108;7.044;2.648;1.2;0.45;0.199;0.21;13.92;4.39;1.48;0.34;0.1
2538;7;7;0;2014;2020;84;1.257;0.3;2.05;0.47;-0.3;0;8.91;0.009;0.379;1.443;1.51;3.886;3.003;3.011;1.443;0.496;0.061;0.021;0.009;5.62;1.82;0.4;0.02;0
2539;8;8;0;2013;2020;96;0.985;0.42;1.45;0.36;-0.23;0.05;5.47;0.615;1.096;1.468;1.32;1.918;1.734;1.721;1.11;0.531;0.181;0.098;0.111;3.27;1.42;0.74;0.17;0.07
2541;6;6;0;2015;2020;72;13.887;5.48;30.53;0.6;1.02;3.79;78.64;7.5;8.325;11.91;27.5;22.792;14.007;24.203;14.373;7.457;8.925;8.872;11.032;54.93;16.52;6.76;5.73;4.28
2542;8;8;0;2013;2020;96;4.009;2.2;5.26;0.25;-0.63;0.16;15.39;1.854;4.056;6.006;5.438;7.185;7.703;8.283;4.609;1.778;0.671;0.323;0.423;13.88;6.42;2.84;0.68;0.3
2545;6;6;0;2015;2020;72;16.632;8.31;23.14;0.3;-0.41;4;84.11;8.368;14;18.847;16.267;23.733;25.67;30.537;25.428;13.517;8.755;7.528;7.367;68.36;16.88;9.91;7.48;6.02
2546;7;7;0;2014;2020;84;19.359;10.62;27.03;0.32;-0.18;4.39;102.99;12.347;21.676;25.694;21.554;30.383;28.317;31.473;25.513;11.889;7.451;7.351;9.329;67.7;19.67;11.74;8.48;5.64
2547;8;8;0;2013;2020;96;1.016;0.4;1.53;0.36;-0.26;0.01;5.12;0.196;0.988;1.498;1.835;2.63;1.78;1.503;0.944;0.53;0.234;0.094;0.071;3.88;1.51;0.62;0.13;0.04
2548;8;8;0;2013;2020;96;2.283;1.32;4.2;0.44;0.99;0.67;15.15;1.863;1.696;2.14;4.006;4.299;2.415;3.683;2.014;1.736;1.168;0.864;1.684;9.48;2.11;1.76;1.28;0.78
2549;8;8;0;2013;2020;96;0.625;0.24;1.06;0.38;0.18;0.07;4.52;0.166;0.284;0.505;0.741;1.568;1.313;1.463;0.618;0.399;0.224;0.15;0.165;2.35;0.8;0.35;0.18;0.1
2550;8;8;0;2013;2020;96;7.586;3.27;10.22;0.28;-0.94;0.14;33.81;4.159;8.475;11.601;9.65;13.308;13.636;15.988;8.858;3.154;1.434;0.535;0.661;22.71;11.11;6.18;1.26;0.36
2552;8;8;0;2013;2020;96;1.776;0.86;2.5;0.36;-0.29;0.12;11.85;0.33;0.273;0.629;0.604;3.166;2.918;2.893;2.015;2.236;2.533;2.416;1.375;7.03;2.44;1.2;0.37;0.2
2710;23;23;0;1998;2020;276;59.113;31.76;151.26;0.44;1.85;6.92;380.19;35.708;47.59;68.366;71.753;82.883;96.243;99.813;59.98;44.903;41.446;35.51;26.525;159.62;71.85;42.43;29.8;17.83
2711;21;21;0;2000;2020;252;51.642;24.35;127.23;0.47;1.32;6.06;345.73;33.04;52.133;73.359;76.834;88.082;103.18;85.84;46.592;25.471;12.33;10.926;14.123;158.2;72.49;33.84;15.71;8.91
2712;14;14;0;2007;2020;168;0.488;0.04;1.22;0.74;0.43;0;5.92;0.016;0.044;0.339;0.579;1.289;1.656;1.159;0.536;0.253;0.016;0.011;0.011;3.24;0.36;0.04;0.01;0
2713;14;14;0;2007;2020;168;2.553;0.52;5.6;0.62;0.46;0.01;15.05;0.643;1.663;3.408;4.626;6.295;5.069;4.711;2.509;1.136;0.438;0.206;0.191;11.79;3.94;1.1;0.17;0.03
2714;9;9;0;2004;2012;108;1.754;0.7;3.01;0.41;0.23;0.06;10.6;0.334;0.661;1.567;2.348;2.739;3.941;4.072;3.057;1.57;0.422;0.204;0.201;5.42;2.92;0.94;0.29;0.15
2716;13;13;0;2008;2020;156;0.704;0.02;2.84;1.13;1.45;0;9.4;0.107;0.155;1.091;1.518;1.824;1.077;1.342;0.84;0.32;0.088;0.065;0.087;3.98;0.6;0.14;0.01;0
2717;14;14;0;2007;2020;168;0.534;0.1;1.49;0.89;0.88;0.02;8.61;0.031;0.07;0.617;1.254;1.313;1.039;1.205;0.453;0.238;0.088;0.076;0.075;3.53;0.46;0.11;0.05;0.02
2718;13;13;0;2008;2020;156;0.988;0.13;3.27;1;1.3;0.01;6.52;0.355;0.569;1.164;1.417;1.608;0.953;1.528;1.858;1.157;0.426;0.355;0.522;4.71;1.11;0.39;0.16;0.05
2719;11;11;0;2010;2020;132;0.358;0.24;0.63;0.31;1.19;0;2.62;0.296;0.396;0.516;0.725;0.568;0.381;0.614;0.4;0.215;0.079;0.018;0.099;1.26;0.4;0.31;0.14;0.01
2818;49;47;2;1970;2020;584;10.352;2.28;23.48;0.52;0.56;0.13;111.37;2.487;6.155;15.708;20.472;25.216;17.145;15.981;11.902;5.308;1.884;0.922;0.912;40;12.67;4.95;1.47;0.5
2900;7;0;7;1912;1918;40;;;;;;;;3.088;6.693;3.037;6.76;5.61;5.02;9.08;10.185;6.732;1.32;0.58;1.34;13.31;7.06;3.31;1.59;0.75
2903;2;0;2;1929;1930;15;;;;;;;;65.43;60.72;208.85;273.17;226.65;449.425;321.43;254.335;124.75;68.03;;;;;;;
2908;8;1;7;1912;1919;53;9.56;9.56;9.56;0;;2.71;56.02;8.78;20.08;10.627;23.428;20.097;14.795;37.213;29.778;17.504;10.61;5.373;5.206;53.22;21.38;13.02;6.24;3.78
2969;2;0;2;1944;1945;;;;;;;;;;;;;;;;;;;;;;;;;
