indroea;ano_hidr;ano_hidr1;qcio;qci;extr_a_com;mes_ci;dia_ci;qco;qc;extr_a_comv;mes_c;dia_c
2046;1928;1929;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;25
2046;1927;1928;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;23
2046;1926;1927;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;11;21
2046;1925;1926;;;;;;;57.23;INCOMPLETO CON VALOR ALTO;12;22
2046;1923;1924;;;;;;;53;VALOR COMPLETADO;3;25
2046;1922;1923;;;;;;;27;VALOR COMPLETADO;4;12
2046;1919;1920;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;29
2036;1927;1928;;;;;;;305;VALOR COMPLETADO;3;25
2046;1917;1918;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;1;22
2046;1934;1935;;;;;;;24.1;INCOMPLETO CON VALOR ALTO;3;
2046;1915;1916;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;18
2046;1914;1915;;;;;;;42;INCOMPLETO CON VALOR ALTO;1;4
2044;1995;1996;;13.21;INCOMPLETO CON VALOR ALTO;12;;;9.68;INCOMPLETO CON VALOR ALTO;1;8
2044;1932;1933;;;;;;;8.3;VALOR COMPLETADO;5;
2044;1930;1931;;;;;;;22.2;INCOMPLETO CON VALOR ALTO;3;13
2043;1962;1963;;409.13;VALOR COMPLETADO;4;;401.7;;;;
2043;1939;1940;;;;;;;567;VALOR COMPLETADO;;
2046;1918;1919;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;20
2050;1916;1917;;;;;;;25.5;INCOMPLETO CON VALOR ALTO;5;
2050;1930;1931;;;;;;;44.2;VALOR COMPLETADO;3;20
2050;1929;1930;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;4;29
2050;1928;1929;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;3
2050;1927;1928;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;24
2050;1926;1927;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;27
2050;1925;1926;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;15
2050;1923;1924;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;26
2046;1929;1930;;;;;;;50.4;INCOMPLETO CON VALOR ALTO;6;13
2050;1921;1922;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;4;6
2046;1930;1931;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;20
2050;1915;1916;;;;;;;50;VALOR COMPLETADO;12;25
2049;1985;1986;;11.48;INCOMPLETO CON VALOR ALTO;;;5.8;;;;
2049;1949;1950;5.706;;;;;;2.33;INCOMPLETO CON VALOR ALTO;11;21
2048;1995;1996;;;;;;;131.52;INCOMPLETO CON VALOR ALTO;2;3
2048;1990;1991;;97.09;INCOMPLETO CON VALOR ALTO;3;9;;89.01;INCOMPLETO CON VALOR ALTO;3;8
2046;1998;1999;;6.744;INCOMPLETO CON VALOR ALTO;9;2;5.278;;;;
2046;1986;1987;;30.04;INCOMPLETO CON VALOR ALTO;1;30;25.091;;;;
2042;1940;1941;;;;;;;71;INCOMPLETO CON VALOR ALTO;5;
2050;1922;1923;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;11;6
2038;1922;1923;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;8
2043;1932;1933;;;;;;;558;VALOR COMPLETADO;12;
2038;1930;1931;;;;;;;72;VALOR COMPLETADO;3;12
2038;1929;1930;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;4
2038;1928;1929;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;7;3
2038;1927;1928;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;23
2038;1926;1927;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;27
2038;1925;1926;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;30
2040;1999;2000;;61.229;INCOMPLETO CON VALOR ALTO;4;26;59.074;;;;
2038;1923;1924;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;26
2041;1942;1943;;;;;;;9.31;INCOMPLETO CON VALOR ALTO;1;12
2038;1921;1922;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;4;6
2038;1920;1921;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;10;5
2038;1919;1920;;;;;;;114;VALOR COMPLETADO;11;14
2038;1918;1919;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;17
2038;1916;1917;;;;;;;80.4;VALOR COMPLETADO;11;18
2038;1915;1916;;;;;;;47.5;VALOR COMPLETADO;12;6
2038;1914;1915;;;;;;;48.8;VALOR COMPLETADO;3;22
2036;1930;1931;;;;;;;174;VALOR COMPLETADO;3;11
2038;1924;1925;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;11;29
2042;1924;1925;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;1
2025;1997;1998;;6.22;INCOMPLETO CON VALOR ALTO;6;1;;5.85;INCOMPLETO CON VALOR ALTO;6;1
2042;1934;1935;;;;;;;43;VALOR COMPLETADO;3;
2042;1933;1934;;;;;;;52;VALOR COMPLETADO;4;
2042;1930;1931;;;;;;;94.4;VALOR COMPLETADO;3;20
2042;1929;1930;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;4;29
2042;1928;1929;;;;;;;47;VALOR COMPLETADO;10;7
2042;1927;1928;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;24
2038;1958;1959;;75.7;INCOMPLETO CON VALOR ALTO;12;;73.18;;;;
2042;1925;1926;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;10
2043;1930;1931;;;;;;;761;INCOMPLETO CON VALOR ALTO;3;12
2042;1923;1924;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;26
2042;1922;1923;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;10;30
