indroea;anomes_ci;dia_ci;hci;qci
2000;199801;4;0.3;12.17
2000;199802;2;0.13;2.77
2000;199803;11;0.07;1.01
2000;199804;7;0.41;21.76
2000;199805;30;0.25;8.72
2000;199806;1;0.29;11.44
2000;199807;1;0.11;2.09
2000;199808;18;0.06;0.8
2000;199809;26;0.09;1.51
2000;199810;9;0.07;1.216
2000;199811;2;0.15;3.464
2000;199812;30;0.12;2.521
2000;199901;13;0.22;6.125
2000;199902;14;0.25;7.463
2000;199903;16;0.13;2.822
2000;199904;22;0.22;6.125
2000;199905;7;0.15;3.464
2000;199906;1;0.12;2.521
2000;199907;11;0.12;2.521
2000;199908;1;0.05;0.786
2000;199909;23;0.08;1.45
2000;199910;24;0.68;39.73
2000;199911;1;0.12;2.521
2000;199912;27;0.66;37.687
2000;200001;1;0.19;4.905
2000;200002;2;0.19;4.905
2000;200003;4;0.07;1.216
2000;200004;16;0.45;19.43
2000;200005;11;0.22;6.125
2000;200006;5;0.19;4.905
2000;200007;1;0.03;0.409
2000;200008;2;0.02;0.24
2000;200009;12;0.03;0.409
2000;200010;11;0.14;3.04
2000;200011;6;1.02;82.8
2000;200012;30;0.45;19.5
2000;200101;5;1.02;82.1
2000;200102;7;0.36;13.5
2000;200103;4;1.09;93.4
2000;200104;7;0.2;5.38
2000;200105;26;0.13;2.95
2000;200106;1;0.12;2.62
2000;200107;4;0.08;1.57
2000;200108;16;0.04;0.545
2000;200109;7;0.01;0.085
2000;200110;20;0.08;1.49
2000;200111;14;0.04;0.533
2000;200112;24;0.22;6.12
2000;200201;23;0.11;2.21
2000;200202;5;0.12;2.39
2000;200203;23;0.22;5.98
2000;200204;6;0.13;2.88
2000;200205;8;0.13;2.7
2000;200206;8;0.13;2.76
2000;200207;11;0.05;0.844
2000;200208;23;0.06;0.993
2000;200209;25;0.03;0.46
2000;200210;25;0.21;5.86
2000;200211;23;0.4;16
2000;200212;28;0.52;25
2000;200301;3;1.08;91
2000;200302;25;0.5;23.3
2000;200303;5;0.38;14.6
2000;200304;13;0.27;8.59
2000;200305;7;0.36;13.3
2000;200306;5;0.08;1.57
2000;200307;5;0.04;0.681
2000;200308;31;0.03;0.446
2000;200309;4;0.15;3.38
2000;200310;31;0.43;22
2000;200311;27;0.54;32.2
2000;200312;1;0.33;13.7
2000;200401;27;0.78;59.7
2000;200402;1;0.23;7.82
2000;200403;29;0.29;11.2
2000;200404;28;0.33;13.6
2000;200405;22;0.21;6.77
2000;200406;1;0.11;2.29
2000;200407;7;0.2;6.06
2000;200408;10;0.05;0.614
2000;200409;8;0.11;2.15
2000;200410;27;0.31;12.3
2000;200411;1;0.14;3.47
2000;200412;27;0.12;2.68
2000;200501;28;0.25;8.9
2000;200502;16;0.13;2.87
2000;200503;27;0.25;9.01
2000;200504;1;0.17;4.62
2000;200505;12;0.13;3.06
2000;200506;3;0.05;0.75
2000;200507;5;0.03;0.279
2000;200508;1;0;0.025
2000;200509;1;0;0.024
2000;200510;29;0.19;5.53
2000;200511;15;0.15;3.89
2000;200512;5;0.2;5.83
2000;200601;30;0.15;3.61
2000;200602;28;0.26;9.25
2000;200603;23;0.56;33.9
2000;200604;1;0.18;4.97
2000;200605;7;0.06;0.981
2000;200606;24;0.28;10.6
2000;200607;18;0.06;0.948
2000;200608;17;0.07;1.14
2000;200609;26;0.06;0.859
2000;200610;20;0.24;8.36
2000;200611;25;0.34;14.5
2000;200612;8;0.44;22.6
2000;200701;27;0.31;12.9
2000;200702;12;0.95;84
2000;200703;31;0.21;6.45
2000;200704;26;0.31;12.8
2000;200705;3;0.26;9.68
2000;200706;17;0.2;6.25
2000;200707;1;0.07;1.02
2000;200708;3;0.03;0.363
2000;200709;1;0.02;0.205
2000;200710;4;0.04;0.473
2000;200711;20;0.17;4.47
2000;200712;17;0.15;3.74
2000;200801;16;0.21;6.29
2000;200802;4;0.13;2.88
2000;200803;31;0.17;4.34
2000;200804;18;0.44;18.4
2000;200805;10;0.34;12.6
2000;200806;1;0.25;7.89
2000;200807;20;0.1;1.93
2000;200808;13;0.02;0.229
2000;200809;9;0.1;2.21
2000;200810;31;0.11;1.96
2000;200811;1;0.12;2.28
2000;200812;8;0.29;11.7
2000;200901;23;1.05;74.3
2000;200902;10;0.29;11.3
2000;200903;16;0.15;3.43
2000;200904;10;0.11;2.22
2000;200905;10;0.14;3.25
2000;200906;2;0.02;0.105
2000;200907;31;0.04;0.362
2000;200908;1;0.04;0.369
2000;200909;13;0.06;0.583
2000;200910;22;0.15;3.68
2000;200911;29;0.09;1.37
2000;200912;29;0.98;67.5
2000;201001;14;0.58;32.5
2000;201002;25;0.77;48.7
2000;201003;30;0.32;13.6
2000;201004;19;0.25;9.01
2000;201005;1;0.24;8.61
2000;201006;10;0.16;3.93
2000;201007;2;0.09;1.36
2000;201008;3;0.01;0.035
2000;201009;18;0.05;0.414
2000;201010;31;0.1;1.6
2000;201011;20;0.17;4.48
2000;201012;7;0.43;21.3
2000;201101;7;0.44;21.7
2000;201102;22;0.28;10.9
2000;201103;27;0.35;15.2
2000;201104;22;0.27;10.3
2000;201105;7;0.33;14.1
2000;201106;1;0.08;1.19
2000;201107;16;0.07;0.798
2000;201108;5;0.05;0.517
2000;201109;3;0.09;1.29
2000;201110;27;0.09;1.44
2000;201111;5;0.17;4.85
2000;201112;16;0.34;15
2000;201201;2;0.1;1.78
2000;201202;13;0.26;9.72
2000;201203;5;0.13;2.88
2000;201204;21;0.28;10.8
2000;201205;8;0.44;21.6
2000;201206;1;0.06;0.742
2000;201207;27;0.08;1.15
2000;201208;7;0.04;0.27
2000;201209;26;0.08;1.18
2000;201210;27;0.06;0.524
2000;201211;1;0.09;1.42
2000;201212;16;0.74;37.2
2000;201301;19;0.91;50.2
2000;201302;2;0.41;15.9
2000;201303;29;1.58;109.5
2000;201304;1;0.51;22
2000;201305;1;0.21;5.86
2000;201306;10;0.24;7.21
2000;201307;11;0.12;2.36
2000;201308;8;0.05;0.392
2000;201309;30;0.15;
2000;201310;25;0.52;8.69
2000;201311;4;0.46;6.41
2000;201312;28;0.82;25.6
2000;201401;3;1;37.2
2000;201402;14;0.7;18.8
2000;201403;3;0.54;9.87
2000;201404;20;0.56;10.9
2000;201405;1;0.4;4.49
2000;201406;1;0.24;1.51
2000;201407;4;0.24;1.49
2000;201408;19;0.1;0.28
2000;201409;22;0.25;1.61
2000;201410;16;0.46;6.211
2000;201411;29;0.75;21.233
2000;201412;1;0.6;12.925
2000;201501;31;0.63;14.842
2000;201502;27;0.44;5.773
2000;201503;3;0.54;9.866
2000;201504;1;0.49;7.545
2000;201505;4;0.4;4.695
2000;201506;11;0.4;4.493
2000;201507;1;0.12;0.431
2000;201508;31;0.18;0.827
2000;201509;16;0.27;1.984
2000;201510;29;0.23;1.744
2000;201511;3;0.45;7.933
2000;201512;1;0.14;0.627
2000;201601;11;1.32;66.65
2000;201602;13;1.27;62.07
2000;201603;29;0.7;20.643
2000;201604;20;0.57;13.454
2000;201605;8;0.47;8.623
2000;201606;4;0.29;2.795
2000;201607;9;0.11;0.406
2000;201608;1;0.05;0.111
2000;201609;15;0.04;0.083
2000;201610;24;0.05;0.096
2000;201611;21;0.46;8.233
2000;201612;5;0.21;1.41
2000;201701;31;0.15;0.663
2000;201702;5;0.81;27.245
2000;201703;6;0.4;5.831
2000;201704;1;0.24;1.876
2000;201705;13;0.32;3.535
2000;201706;4;0.22;1.583
2000;201707;8;0.12;0.433
2000;201708;28;0.26;2.158
2000;201709;1;0.09;0.259
2000;201710;19;0.13;0.528
2000;201711;25;0.16;0.775
2000;201712;11;0.61;15.645
2000;201801;4;0.41;6.218
2000;201802;28;0.57;13.251
2000;201803;14;0.81;26.987
2000;201804;6;0.7;20.35
2000;201805;8;0.45;7.68
2000;201806;4;0.42;6.694
2000;201807;1;0.2;1.259
2000;201808;1;0.07;0.154
2000;201809;4;0.29;2.816
2000;201810;31;0.08;0.23
2000;201811;10;0.44;7.512
2000;201812;16;0.71;21.352
2000;201901;31;0.67;18.508
2000;201902;1;0.91;34.231
2000;201903;6;0.39;5.565
2000;201904;25;0.81;27.18
2000;201905;10;0.51;10.245
2000;201906;5;0.15;0.69
2000;201907;9;0.09;0.245
2000;201908;1;0.05;0.092
2000;201909;21;0.11;0.366
2000;201910;23;0.12;0.452
2000;201911;30;0.76;23.836
2000;201912;20;1.16;52.555
2000;202001;30;0.5;9.814
2000;202002;1;0.52;11.032
2000;202003;2;0.73;22.281
2000;202004;11;0.49;9.739
2000;202005;1;0.37;4.816
2000;202006;4;0.29;2.731
2000;202007;1;0.15;0.697
