ref_ceh;totanos;totanosc;totanosinc;anoini;anofin;totmeses;medano;minano;maxano;cv;cs;minmes;maxmes;moct;mnov;mdic;mene;mfeb;mmar;mabr;mmay;mjun;mjul;mago;msep;q5;q25;q50;q75;q95
2401;44;42;2;1969;2012;517;1.426;0.29;3.11;0.5;0.39;0.06;4.98;1.802;1.876;2.061;2.116;1.983;1.6;1.497;1.057;0.87;0.725;0.654;0.897;3.53;2.11;1.18;0.55;0.22
2432;4;4;0;2009;2012;48;3.893;3.53;4.2;0.07;-0.11;2.8;4.73;3.788;3.685;3.71;3.513;3.335;3.648;4.023;4.268;4.348;4.073;4.183;4.108;4.5;4.24;4.05;3.59;2.99
