ref_ceh;anomes;hmedmes;qmedmes;apormedmes;qcmes;hcmes;dia_cmes;qnmes;hnmes;dia_nmes;orig_dato_id
2401;200309;0.34;0.578;1.498;1.09;0.48;7;0.31;0.26;26;1
2401;200310;0.57;1.484;3.975;1.96;0.67;9;0.89;0.43;19;1
2401;200311;0.59;1.559;4.042;1.77;0.63;15;1.15;0.5;4;1
2401;200312;0.56;1.423;3.81;1.6;0.6;3;1.25;0.52;28;1
2401;200401;0.51;1.214;3.252;1.45;0.57;3;0.64;0.37;18;1
2401;200402;0.44;0.95;2.379;1.35;0.54;2;0.6;0.35;21;1
2401;200403;0.43;0.901;2.412;1.3;0.53;14;0.27;0.25;27;1
2401;200404;0.41;0.853;2.21;1.8;0.64;23;0.27;0.25;29;1
2401;200405;0.37;0.712;1.906;1.78;0.64;10;0.29;0.25;25;1
2401;200406;0.29;0.42;1.09;1.03;0.47;20;0.26;0.24;11;1
2401;200407;0.29;0.394;1.054;1.22;0.52;11;0.24;0.24;25;1
2401;200408;0.32;0.495;1.327;1;0.46;9;0.23;0.23;7;1
2401;200409;0.31;0.462;1.197;0.73;0.39;9;0.21;0.22;30;1
2401;200410;0.42;0.871;2.332;1.76;0.63;29;0.224;0.23;6;1
2401;200411;0.47;1.044;2.706;1.41;0.56;22;0.622;0.36;27;1
2401;200412;0.48;1.077;2.885;1.49;0.58;5;0.775;0.41;18;1
2401;200501;0.48;1.112;2.98;1.54;0.59;3;0.288;0.25;25;1
2401;200502;0.39;0.769;1.86;1.89;0.66;6;0.288;0.25;10;1
2401;200503;0.34;0.615;1.647;1.13;0.47;7;0.241;0.24;17;1
2401;200504;0.51;1.301;3.372;2.49;0.77;8;0.279;0.25;27;1
2401;200505;0.27;0.358;0.96;0.812;0.41;16;0.158;0.2;6;1
2401;200506;0.25;0.298;0.773;0.795;0.41;1;0.15;0.2;15;1
2401;200507;0.24;0.262;0.701;0.637;0.36;3;0.152;0.2;14;1
2401;200508;0.25;0.293;0.784;0.809;0.41;12;0.19;0.22;26;1
2401;200509;0.27;0.34;0.882;0.705;0.38;18;0.2;0.22;3;1
2401;200510;0.34;0.626;1.676;1.64;0.61;15;0.151;0.2;6;1
2401;200511;0.35;0.633;1.64;1.01;0.45;11;0.284;0.25;19;1
2401;200512;0.36;0.69;1.848;1.19;0.51;9;0.274;0.25;21;1
2401;200601;0.33;0.567;1.518;1.13;0.48;23;0.266;0.25;25;1
2401;200602;0.27;0.39;0.944;0.884;0.4;3;0.15;0.17;25;1
2401;200603;0.32;0.563;1.508;0.964;0.45;9;0.15;0.18;4;1
2401;200604;0.31;0.48;1.244;0.941;0.42;18;0.183;0.21;29;1
2401;200605;0.22;0.204;0.546;0.757;0.39;7;0.15;0.2;28;1
2401;200606;0.25;0.324;0.841;0.722;0.39;22;0.15;0.18;1;1
2401;200607;0.24;0.253;0.678;0.449;0.31;16;0.158;0.2;4;1
2401;200608;0.31;0.473;1.268;1.29;0.53;21;0.265;0.25;27;1
2401;200609;0.34;0.585;1.515;1.13;0.5;17;0.204;0.22;8;1
2401;200610;0.24;0.259;0.695;0.309;0.26;8;0.234;0.23;27;1
2401;200611;0.29;0.451;1.168;1.47;0.55;27;0.232;0.23;14;1
2401;200612;0.44;0.951;2.546;1.24;0.5;4;0.686;0.37;11;1
2401;200701;0.31;0.511;1.368;0.95;0.42;5;0.233;0.23;18;1
2401;200702;0.34;0.616;1.491;1.16;0.47;16;0.267;0.24;11;1
2401;200703;0.33;0.572;1.531;1.04;0.45;2;0.204;0.22;15;1
2401;200704;0.41;0.877;2.274;1.48;0.56;16;0.266;0.24;25;1
2401;200705;0.4;0.821;2.2;1.4;0.54;24;0.269;0.25;18;1
2401;200706;0.41;0.85;2.203;1.48;0.56;3;0.238;0.23;30;1
2401;200707;0.25;0.293;0.784;0.767;0.39;24;0.181;0.21;9;1
2401;200708;0.3;0.437;1.172;0.93;0.43;16;0.242;0.24;6;1
2401;200709;0.29;0.411;1.067;0.948;0.44;18;0.255;0.24;15;1
2401;200710;0.37;0.748;2.003;1.49;0.56;5;0.192;0.22;20;1
2401;200711;0.36;0.679;1.76;1.24;0.5;2;0.249;0.24;13;1
2401;200712;0.34;0.606;1.623;0.994;0.44;28;0.256;0.24;13;1
2401;200801;0.42;0.889;2.381;1.5;0.56;23;0.346;0.27;1;1
2401;200802;0.31;0.514;1.288;0.999;0.44;8;0.184;0.21;27;1
2401;200803;0.25;0.327;0.876;0.708;0.35;31;0.133;0.19;22;1
2401;200804;0.28;0.381;0.988;1.03;0.46;11;0.198;0.22;30;1
2401;200805;0.27;0.355;0.951;1.02;0.43;12;0.184;0.21;4;1
2401;200806;0.34;0.602;1.561;1.09;0.47;5;0.264;0.24;26;1
2401;200807;0.21;0.183;0.491;0.397;0.29;29;0.125;0.19;31;1
2401;200808;0.22;0.205;0.549;0.357;0.27;11;0.118;0.19;1;1
2401;200809;0.3;0.459;1.19;1.14;0.48;25;0.23;0.23;1;1
2401;200810;0.32;0.541;1.449;1.25;0.5;3;0.179;0.21;31;1
2401;200811;0.37;0.705;1.827;1.26;0.51;12;0.277;0.25;29;1
2401;200812;0.32;0.54;1.446;1.19;0.49;4;0.24;0.23;18;1
2401;200901;0.27;0.389;1.041;0.807;0.38;21;0.163;0.21;4;1
2401;200902;0.31;0.522;1.262;0.872;0.4;2;0.205;0.22;24;1
2401;200903;0.3;0.474;1.269;1.03;0.45;6;0.142;0.2;28;1
2401;200904;0.26;0.331;0.857;0.97;0.44;16;0.121;0.19;27;1
2401;200905;0.24;0.272;0.729;1.08;0.47;27;0.132;0.19;8;1
2401;200906;0.31;0.495;1.282;1.19;0.5;16;0.204;0.22;25;1
