ref_ceh;canal;tipo_canal_id;serv;num_cuenca;num_cuencat;muni_id;suprcnc;suprcan;xutm;yutm;xutm30;yutm30;long;lat;longwgs84;latwgs84;naa;naai;naam;hoja_id;comentario;xetrs89;yetrs89;cod_saih
2401;RIOSECO                                           ;2;0;2255;2138;47086;728.13;1106;330780;4639460;330780;4639460;-50223;415317;-50227;415314;45;42;45;310;INT 2013. RIO: CANAL CASTILLA                                                   ;330671;4639253;
2432;DUERO, DEL                                        ;2;0;2111;2111;47129;991.15;;382496;4608845;382496;4608845;-42442;413715;-42446;413712;5;4;5;373;INT 2013. RIO: CANAL DEL DUERO                                                  ;382388;4608638;
